id,name,brand,category,price,description,stock,rating
TV0061,SmartView TV,CinemaCo,smart_tv,1301.98,50 inch smart TV with 4K resolution.,132,3.5
SP0062,Maxi Phone,NextCom,smartphone,605.48,Smartphone with long-lasting battery.,162,3.7
TV0063,SmartView TV,ViewTech,smart_tv,1493.11,40 inch smart TV with smart connectivity.,173,3.9
LP0064,Econo Note,EconCo,laptop,1183.88,15.6 inch laptop featuring high performance graphics.,174,4.0
TV0065,Ultra TV,CinemaCo,smart_tv,2716.17,40 inch smart TV with smart connectivity.,78,3.9
LP0066,Business Mate,UltraComp,laptop,859.39,17 inch laptop featuring high performance graphics.,137,4.0
SP0067,SmartPhone X,RivalTech,smartphone,903.01,Smartphone with advanced camera system.,191,5.0
LP0068,Econo Note,NextGen,laptop,473.07,17 inch laptop featuring lightweight design.,120,3.8
SP0069,SmartPhone X,RivalTech,smartphone,777.35,Smartphone with 5G connectivity.,117,4.0
LP0070,Pro Book,TechCo,laptop,1605.65,17 inch laptop featuring high performance graphics.,187,3.9
SPK0071,ClearSound,SoundCo,speaker,245.31,Speaker delivering deep bass.,129,4.5
LP0072,Ultra Thin,TechCo,laptop,367.89,14 inch laptop featuring long battery life.,182,3.8
TV0073,SmartView TV,ViewTech,smart_tv,843.45,50 inch smart TV with 4K resolution.,127,4.8
SPK0074,ClearSound,AudioMax,speaker,52.19,Speaker delivering deep bass.,108,3.8
TV0075,Infinity TV,Spectra,smart_tv,487.04,50 inch smart TV with smart connectivity.,56,4.0
TV0076,SmartView TV,UltraVision,smart_tv,1992.21,55 inch smart TV with HDR support.,102,3.5
TV0077,Ultra TV,UltraVision,smart_tv,1308.69,50 inch smart TV with 4K resolution.,16,0.0
LP0078,Econo Note,NextGen,laptop,591.89,13.3 inch laptop featuring lightweight design.,123,0.0
LP0079,Performance Pro,TechCo,laptop,1355.12,15.6 inch laptop featuring long battery life.,1,4.0
SP0080,Fusion Phone,TechCo,smartphone,974.33,Smartphone with vivid display.,191,4.0
SP0081,Maxi Phone,NextCom,smartphone,1154.11,Smartphone with 5G connectivity.,95,3.8
SPK0082,ClearSound,BassLine,speaker,291.25,Speaker delivering crystal clear sound.,76,4.2
SPK0083,BoomBox,SoundCo,speaker,64.63,Speaker delivering compact design.,81,0.0
TV0084,Ultra TV,Spectra,smart_tv,793.43,65 inch smart TV with sleek design.,68,4.0
TV0085,Vivid TV,ViewTech,smart_tv,1156.65,50 inch smart TV with 4K resolution.,59,4.5
TV0086,Cinema TV,ViewTech,smart_tv,955.35,40 inch smart TV with smart connectivity.,56,0.0
SPK0087,SoundWave,AudioMax,speaker,393.65,Speaker delivering crystal clear sound.,116,4.2
SP0088,Fusion Phone,NextCom,smartphone,350.5,Smartphone with advanced camera system.,179,4.3
TV0089,Infinity TV,UltraVision,smart_tv,1829.36,55 inch smart TV with sleek design.,57,3.5
SPK0090,ClearSound,SoundCo,speaker,103.53,Speaker delivering crystal clear sound.,10,4.0
LP0091,Ultra Thin,TechCo,laptop,1934.63,13.3 inch laptop featuring high performance graphics.,49,4.3
SPK0092,BoomBox,BeatBox,speaker,264.73,Speaker delivering compact design.,85,3.5
TV0093,Cinema TV,Spectra,smart_tv,2276.61,40 inch smart TV with smart connectivity.,136,4.2
SPK0094,ClearSound,BeatBox,speaker,372.14,Speaker delivering wireless connectivity.,21,3.8
SPK0095,SoundWave,AudioMax,speaker,366.56,Speaker delivering compact design.,173,0.0
SPK0096,ClearSound,AudioMax,speaker,114.46,Speaker delivering wireless connectivity.,188,4.2
SP0097,Fusion Phone,TechCo,smartphone,872.09,Smartphone with long-lasting battery.,20,3.5
SP0098,Mobile Z,RivalTech,smartphone,514.29,Smartphone with long-lasting battery.,155,3.0
SP0099,Mobile Z,TechCo,smartphone,886.15,Smartphone with vivid display.,116,3.2
SP0100,SmartPhone X,TechCo,smartphone,942.6,Smartphone with 5G connectivity.,109,0.0
SPK0101,SoundWave,BeatBox,speaker,456.97,Speaker delivering deep bass.,142,3.8
SPK0102,BoomBox,BassLine,speaker,263.14,Speaker delivering crystal clear sound.,121,4.5
LP0103,Econo Note,UltraComp,laptop,1183.73,15.6 inch laptop featuring lightweight design.,84,4.0
LP0104,Pro Book,EconCo,laptop,615.1,17 inch laptop featuring high performance graphics.,12,3.2
SPK0105,Audio Pro,BeatBox,speaker,169.57,Speaker delivering deep bass.,142,3.7
LP0106,Business Mate,UltraComp,laptop,1103.34,13.3 inch laptop featuring high performance graphics.,89,4.0
SPK0107,ClearSound,AudioMax,speaker,404.51,Speaker delivering crystal clear sound.,131,0.0
TV0108,Infinity TV,Spectra,smart_tv,355.49,65 inch smart TV with 4K resolution.,160,4.0
SPK0109,Bass Boost,BassLine,speaker,451.82,Speaker delivering deep bass.,148,3.5
SP0110,Maxi Phone,NextCom,smartphone,679.74,Smartphone with 5G connectivity.,90,4.0
SPK0111,Audio Pro,BeatBox,speaker,186.98,Speaker delivering compact design.,53,4.0
LP0112,Econo Note,EconCo,laptop,639.69,14 inch laptop featuring lightweight design.,129,3.7
LP0113,Econo Note,UltraComp,laptop,659.47,14 inch laptop featuring lightweight design.,86,3.8
LP0114,Econo Note,UltraComp,laptop,476.44,14 inch laptop featuring long battery life.,20,0.0
SPK0115,Audio Pro,BassLine,speaker,196.28,Speaker delivering wireless connectivity.,162,3.7
TV0116,Infinity TV,UltraVision,smart_tv,476.33,50 inch smart TV with smart connectivity.,59,0.0
SP0117,SmartPhone Y,TechCo,smartphone,886.92,Smartphone with 5G connectivity.,54,0.0
SP0118,SmartPhone X,RivalTech,smartphone,370.48,Smartphone with vivid display.,104,5.0
LP0119,Ultra Thin,UltraComp,laptop,1985.44,15.6 inch laptop featuring high performance graphics.,6,4.2
SP0120,SmartPhone X,Futura,smartphone,1028.91,Smartphone with vivid display.,7,0.0
LP0121,Ultra Thin,UltraComp,laptop,476.78,15.6 inch laptop featuring lightweight design.,72,3.8
SP0122,SmartPhone X,Futura,smartphone,1086.53,Smartphone with long-lasting battery.,138,4.0
TV0123,Infinity TV,UltraVision,smart_tv,1718.18,55 inch smart TV with sleek design.,150,4.4
TV0124,Cinema TV,Spectra,smart_tv,2116.03,55 inch smart TV with HDR support.,150,4.5
TV0125,Cinema TV,UltraVision,smart_tv,2579.04,65 inch smart TV with sleek design.,200,4.0
SP0126,Maxi Phone,Futura,smartphone,383.67,Smartphone with vivid display.,192,3.9
LP0127,Ultra Thin,UltraComp,laptop,322.91,17 inch laptop featuring lightweight design.,38,0.0
TV0128,Ultra TV,Spectra,smart_tv,2341.91,65 inch smart TV with sleek design.,46,3.5
TV0129,Cinema TV,Spectra,smart_tv,619.33,75 inch smart TV with smart connectivity.,39,4.2
SPK0130,ClearSound,SoundCo,speaker,287.58,Speaker delivering compact design.,168,4.0
SP0131,Mobile Z,TechCo,smartphone,270.26,Smartphone with vivid display.,157,4.5
TV0132,Cinema TV,ViewTech,smart_tv,1577.76,65 inch smart TV with sleek design.,64,0.0
LP0133,Pro Book,EconCo,laptop,1501.85,17 inch laptop featuring lightweight design.,132,0.0
SPK0134,BoomBox,AudioMax,speaker,84.8,Speaker delivering crystal clear sound.,4,4.0
SPK0135,Bass Boost,BeatBox,speaker,317.71,Speaker delivering deep bass.,59,4.0
SPK0136,Bass Boost,AudioMax,speaker,157.72,Speaker delivering compact design.,124,3.8
TV0137,Infinity TV,UltraVision,smart_tv,1737.36,55 inch smart TV with smart connectivity.,188,3.5
SPK0138,Audio Pro,SoundCo,speaker,376.33,Speaker delivering deep bass.,54,0.0
SPK0139,ClearSound,BeatBox,speaker,223.71,Speaker delivering crystal clear sound.,67,4.0
LP0140,Econo Note,UltraComp,laptop,1951.68,14 inch laptop featuring latest processor.,33,4.3
LP0141,Ultra Thin,TechCo,laptop,1210.68,14 inch laptop featuring long battery life.,163,5.0
SPK0142,Bass Boost,SoundCo,speaker,206.08,Speaker delivering wireless connectivity.,109,0.0
TV0143,Vivid TV,UltraVision,smart_tv,671.52,50 inch smart TV with sleek design.,187,3.5
LP0144,Ultra Thin,UltraComp,laptop,1223.08,15.6 inch laptop featuring lightweight design.,162,0.0
SPK0145,Audio Pro,BassLine,speaker,54.39,Speaker delivering compact design.,172,3.8
SP0146,Maxi Phone,RivalTech,smartphone,1106.98,Smartphone with long-lasting battery.,69,3.5
SP0147,Mobile Z,NextCom,smartphone,736.41,Smartphone with 5G connectivity.,60,4.0
TV0148,Cinema TV,Spectra,smart_tv,316.72,55 inch smart TV with HDR support.,43,0.0
SP0149,SmartPhone Y,NextCom,smartphone,1073.04,Smartphone with vivid display.,77,3.8
LP0150,Business Mate,TechCo,laptop,1477.51,13.3 inch laptop featuring latest processor.,124,3.5
TV0151,Cinema TV,Spectra,smart_tv,2577.78,65 inch smart TV with HDR support.,172,4.2
LP0152,Performance Pro,TechCo,laptop,408.21,14 inch laptop featuring high performance graphics.,94,4.3
LP0153,Pro Book,UltraComp,laptop,874.6,17 inch laptop featuring high performance graphics.,76,4.0
SP0154,Fusion Phone,NextCom,smartphone,1085.51,Smartphone with advanced camera system.,35,5.0
LP0155,Ultra Thin,TechCo,laptop,1143.94,13.3 inch laptop featuring high performance graphics.,151,3.5
SPK0156,Bass Boost,SoundCo,speaker,145.65,Speaker delivering deep bass.,35,3.5
TV0157,Ultra TV,ViewTech,smart_tv,2050.45,40 inch smart TV with smart connectivity.,159,3.6
TV0158,SmartView TV,CinemaCo,smart_tv,2640.4,65 inch smart TV with 4K resolution.,4,0.0
LP0159,Business Mate,EconCo,laptop,1276.22,17 inch laptop featuring lightweight design.,94,4.0
SPK0160,ClearSound,SoundCo,speaker,250.0,Speaker delivering compact design.,40,4.2
LP0161,Pro Book,NextGen,laptop,1237.22,14 inch laptop featuring latest processor.,77,4.2
SP0162,Fusion Phone,NextCom,smartphone,379.75,Smartphone with 5G connectivity.,128,3.2
SPK0163,BoomBox,BeatBox,speaker,477.74,Speaker delivering wireless connectivity.,88,4.0
LP0164,Econo Note,UltraComp,laptop,1694.4,13.3 inch laptop featuring long battery life.,84,5.0
SP0165,SmartPhone Y,NextCom,smartphone,542.91,Smartphone with 5G connectivity.,141,0.0
LP0166,Business Mate,EconCo,laptop,1017.63,15.6 inch laptop featuring high performance graphics.,106,4.5
LP0167,Pro Book,TechCo,laptop,599.19,13.3 inch laptop featuring lightweight design.,143,4.0
LP0168,Business Mate,NextGen,laptop,1641.44,17 inch laptop featuring high performance graphics.,197,4.5
LP0169,Pro Book,TechCo,laptop,1571.48,14 inch laptop featuring long battery life.,35,3.8
LP0170,Econo Note,UltraComp,laptop,502.01,17 inch laptop featuring high performance graphics.,194,4.5
SPK0171,Audio Pro,SoundCo,speaker,135.72,Speaker delivering wireless connectivity.,114,3.7
TV0172,Ultra TV,ViewTech,smart_tv,953.46,65 inch smart TV with 4K resolution.,78,3.8
SPK0173,ClearSound,AudioMax,speaker,123.21,Speaker delivering wireless connectivity.,67,4.1
LP0174,Performance Pro,NextGen,laptop,1596.03,14 inch laptop featuring high performance graphics.,173,5.0
LP0175,Performance Pro,NextGen,laptop,1348.87,14 inch laptop featuring lightweight design.,139,0.0
LP0176,Business Mate,NextGen,laptop,1826.54,15.6 inch laptop featuring long battery life.,77,3.5
TV0177,Vivid TV,UltraVision,smart_tv,2833.2,55 inch smart TV with HDR support.,44,3.5
LP0178,Pro Book,NextGen,laptop,1183.53,14 inch laptop featuring long battery life.,40,4.0
LP0179,Econo Note,NextGen,laptop,1703.49,15.6 inch laptop featuring lightweight design.,10,3.8
SPK0180,Bass Boost,BassLine,speaker,84.68,Speaker delivering crystal clear sound.,103,4.2
SP0181,Mobile Z,Futura,smartphone,352.77,Smartphone with 5G connectivity.,162,3.5
LP0182,Performance Pro,EconCo,laptop,548.79,15.6 inch laptop featuring long battery life.,149,4.1
TV0183,Ultra TV,Spectra,smart_tv,2843.68,50 inch smart TV with 4K resolution.,144,4.2
TV0184,SmartView TV,UltraVision,smart_tv,748.56,55 inch smart TV with smart connectivity.,128,4.2
TV0185,SmartView TV,CinemaCo,smart_tv,1461.07,55 inch smart TV with HDR support.,62,3.7
SP0186,Mobile Z,RivalTech,smartphone,321.05,Smartphone with vivid display.,58,4.0
SPK0187,ClearSound,SoundCo,speaker,418.2,Speaker delivering wireless connectivity.,169,4.8
LP0188,Pro Book,TechCo,laptop,1845.92,13.3 inch laptop featuring lightweight design.,72,3.8
LP0189,Business Mate,EconCo,laptop,1274.71,15.6 inch laptop featuring high performance graphics.,178,3.5
SP0190,Maxi Phone,Futura,smartphone,285.06,Smartphone with 5G connectivity.,149,4.3
TV0191,Infinity TV,CinemaCo,smart_tv,1761.18,65 inch smart TV with HDR support.,80,3.8
LP0192,Econo Note,NextGen,laptop,1389.92,13.3 inch laptop featuring lightweight design.,65,0.0
TV0193,SmartView TV,UltraVision,smart_tv,2265.98,65 inch smart TV with smart connectivity.,100,0.0
LP0194,Pro Book,NextGen,laptop,1490.05,15.6 inch laptop featuring long battery life.,179,3.8
LP0195,Econo Note,NextGen,laptop,1527.26,15.6 inch laptop featuring latest processor.,128,5.0
SPK0196,BoomBox,BeatBox,speaker,228.88,Speaker delivering compact design.,121,3.8
SPK0197,Audio Pro,BassLine,speaker,219.73,Speaker delivering wireless connectivity.,16,4.5
SPK0198,ClearSound,BassLine,speaker,451.49,Speaker delivering deep bass.,64,0.0
TV0199,Infinity TV,UltraVision,smart_tv,1489.69,55 inch smart TV with smart connectivity.,137,3.2
SPK0200,SoundWave,AudioMax,speaker,370.27,Speaker delivering compact design.,192,4.2
TV0201,Infinity TV,Spectra,smart_tv,2124.89,65 inch smart TV with HDR support.,134,3.5
SP0202,Maxi Phone,Futura,smartphone,540.71,Smartphone with advanced camera system.,192,4.0
SP0203,Fusion Phone,NextCom,smartphone,615.27,Smartphone with long-lasting battery.,79,3.2
TV0204,Vivid TV,UltraVision,smart_tv,310.4,40 inch smart TV with HDR support.,93,4.0
SPK0205,BoomBox,BassLine,speaker,221.42,Speaker delivering crystal clear sound.,163,3.5
LP0206,Econo Note,NextGen,laptop,1313.07,14 inch laptop featuring high performance graphics.,72,3.8
SP0207,Maxi Phone,TechCo,smartphone,516.84,Smartphone with long-lasting battery.,44,3.8
SPK0208,Bass Boost,AudioMax,speaker,288.84,Speaker delivering compact design.,55,4.1
SP0209,Mobile Z,TechCo,smartphone,626.82,Smartphone with 5G connectivity.,177,4.0
SPK0210,SoundWave,SoundCo,speaker,126.24,Speaker delivering deep bass.,94,4.2
SPK0211,BoomBox,SoundCo,speaker,124.15,Speaker delivering crystal clear sound.,101,0.0
TV0212,Cinema TV,CinemaCo,smart_tv,1794.48,75 inch smart TV with 4K resolution.,42,4.0
TV0213,Vivid TV,Spectra,smart_tv,809.7,40 inch smart TV with 4K resolution.,189,3.6
SP0214,SmartPhone Y,RivalTech,smartphone,862.82,Smartphone with vivid display.,143,4.2
TV0215,Infinity TV,ViewTech,smart_tv,1200.84,65 inch smart TV with 4K resolution.,116,3.5
SP0216,Fusion Phone,Futura,smartphone,228.04,Smartphone with long-lasting battery.,123,5.0
LP0217,Performance Pro,UltraComp,laptop,1958.05,17 inch laptop featuring lightweight design.,166,4.0
SP0218,Fusion Phone,TechCo,smartphone,991.92,Smartphone with vivid display.,143,4.0
SP0219,SmartPhone Y,RivalTech,smartphone,329.81,Smartphone with advanced camera system.,5,3.7
SPK0220,Bass Boost,BeatBox,speaker,174.43,Speaker delivering crystal clear sound.,120,3.7
TV0221,Infinity TV,UltraVision,smart_tv,1913.96,75 inch smart TV with smart connectivity.,185,4.5
SPK0222,Audio Pro,BeatBox,speaker,374.77,Speaker delivering compact design.,192,0.0
SP0223,Mobile Z,NextCom,smartphone,1139.95,Smartphone with vivid display.,110,4.5
SPK0224,Audio Pro,AudioMax,speaker,97.16,Speaker delivering deep bass.,37,3.5
SPK0225,Audio Pro,SoundCo,speaker,398.07,Speaker delivering compact design.,13,3.8
SPK0226,BoomBox,BeatBox,speaker,415.14,Speaker delivering wireless connectivity.,91,4.2
LP0227,Business Mate,NextGen,laptop,1698.34,15.6 inch laptop featuring lightweight design.,139,3.8
SP0228,SmartPhone X,RivalTech,smartphone,733.19,Smartphone with advanced camera system.,8,4.3
SP0229,Mobile Z,TechCo,smartphone,232.35,Smartphone with 5G connectivity.,63,3.5
SP0230,Fusion Phone,NextCom,smartphone,1041.7,Smartphone with advanced camera system.,1,4.5
TV0231,SmartView TV,Spectra,smart_tv,2487.58,55 inch smart TV with 4K resolution.,92,4.2
LP0232,Ultra Thin,TechCo,laptop,803.08,14 inch laptop featuring high performance graphics.,93,0.0
TV0233,Ultra TV,CinemaCo,smart_tv,2041.26,75 inch smart TV with HDR support.,130,4.0
SPK0234,Audio Pro,AudioMax,speaker,128.85,Speaker delivering compact design.,52,3.5
SP0235,Mobile Z,Futura,smartphone,491.51,Smartphone with long-lasting battery.,65,3.8
SP0236,SmartPhone X,Futura,smartphone,995.25,Smartphone with vivid display.,18,3.9
SP0237,SmartPhone Y,RivalTech,smartphone,1025.45,Smartphone with advanced camera system.,92,4.4
LP0238,Econo Note,EconCo,laptop,525.19,14 inch laptop featuring long battery life.,113,4.0
SPK0239,Audio Pro,BeatBox,speaker,200.39,Speaker delivering deep bass.,187,4.2
LP0240,Econo Note,UltraComp,laptop,1385.08,17 inch laptop featuring high performance graphics.,200,4.5
SPK0241,Bass Boost,BassLine,speaker,94.33,Speaker delivering compact design.,92,3.2
SP0242,Fusion Phone,TechCo,smartphone,842.19,Smartphone with long-lasting battery.,136,4.0
LP0243,Business Mate,UltraComp,laptop,996.67,13.3 inch laptop featuring high performance graphics.,145,4.2
SP0244,SmartPhone Y,RivalTech,smartphone,419.37,Smartphone with advanced camera system.,183,4.2
TV0245,SmartView TV,ViewTech,smart_tv,1775.62,55 inch smart TV with 4K resolution.,155,3.3
TV0246,Ultra TV,UltraVision,smart_tv,1542.0,75 inch smart TV with sleek design.,179,3.0
LP0247,Business Mate,TechCo,laptop,737.35,14 inch laptop featuring long battery life.,121,0.0
SP0248,Mobile Z,Futura,smartphone,867.98,Smartphone with advanced camera system.,111,3.7
SP0249,SmartPhone Y,RivalTech,smartphone,700.64,Smartphone with advanced camera system.,99,4.2
TV0250,Cinema TV,ViewTech,smart_tv,1449.64,65 inch smart TV with sleek design.,45,0.0
SP0251,Fusion Phone,RivalTech,smartphone,661.21,Smartphone with advanced camera system.,109,3.8
SP0252,Fusion Phone,TechCo,smartphone,1146.28,Smartphone with 5G connectivity.,6,4.2
SPK0253,BoomBox,SoundCo,speaker,170.68,Speaker delivering compact design.,81,4.2
LP0254,Performance Pro,EconCo,laptop,1591.94,14 inch laptop featuring long battery life.,8,4.0
LP0255,Performance Pro,EconCo,laptop,1015.75,14 inch laptop featuring long battery life.,81,4.0
TV0256,Ultra TV,CinemaCo,smart_tv,901.11,50 inch smart TV with 4K resolution.,6,3.8
SP0257,Maxi Phone,Futura,smartphone,412.67,Smartphone with long-lasting battery.,127,3.8
SP0258,Maxi Phone,RivalTech,smartphone,1125.05,Smartphone with 5G connectivity.,120,4.0
LP0259,Business Mate,EconCo,laptop,1435.31,14 inch laptop featuring lightweight design.,18,3.0
LP0260,Business Mate,TechCo,laptop,1470.41,13.3 inch laptop featuring high performance graphics.,109,4.7
TV0261,Cinema TV,Spectra,smart_tv,2955.71,65 inch smart TV with HDR support.,194,4.2
SP0262,SmartPhone Y,NextCom,smartphone,545.16,Smartphone with 5G connectivity.,81,3.5
TV0263,Vivid TV,ViewTech,smart_tv,2472.89,50 inch smart TV with HDR support.,43,4.0
SPK0264,SoundWave,BassLine,speaker,412.42,Speaker delivering deep bass.,2,4.7
SPK0265,BoomBox,BassLine,speaker,435.82,Speaker delivering wireless connectivity.,87,4.0
TV0266,Vivid TV,ViewTech,smart_tv,2782.64,40 inch smart TV with sleek design.,109,3.8
TV0267,SmartView TV,Spectra,smart_tv,2846.23,75 inch smart TV with 4K resolution.,45,3.8
LP0268,Ultra Thin,NextGen,laptop,1964.15,15.6 inch laptop featuring latest processor.,0,5.0
SPK0269,SoundWave,SoundCo,speaker,167.31,Speaker delivering wireless connectivity.,108,0.0
LP0270,Performance Pro,EconCo,laptop,1139.29,14 inch laptop featuring high performance graphics.,133,3.2
LP0271,Ultra Thin,EconCo,laptop,1910.64,17 inch laptop featuring lightweight design.,103,4.3
TV0272,Ultra TV,ViewTech,smart_tv,494.47,65 inch smart TV with HDR support.,19,4.0
LP0273,Performance Pro,TechCo,laptop,940.67,17 inch laptop featuring lightweight design.,56,3.5
SP0274,SmartPhone X,RivalTech,smartphone,597.63,Smartphone with vivid display.,47,4.0
TV0275,SmartView TV,Spectra,smart_tv,1488.93,75 inch smart TV with HDR support.,119,0.0
SPK0276,SoundWave,AudioMax,speaker,199.21,Speaker delivering compact design.,178,3.5
TV0277,Infinity TV,Spectra,smart_tv,2664.85,55 inch smart TV with smart connectivity.,29,4.1
SPK0278,Bass Boost,SoundCo,speaker,58.92,Speaker delivering compact design.,89,3.5
SP0279,Mobile Z,TechCo,smartphone,380.31,Smartphone with vivid display.,11,4.5
LP0280,Econo Note,NextGen,laptop,1676.28,15.6 inch laptop featuring high performance graphics.,51,0.0
SPK0281,SoundWave,SoundCo,speaker,352.81,Speaker delivering crystal clear sound.,22,3.7
TV0282,Infinity TV,UltraVision,smart_tv,2594.48,75 inch smart TV with sleek design.,97,0.0
TV0283,Cinema TV,CinemaCo,smart_tv,2990.18,40 inch smart TV with smart connectivity.,15,3.5
SPK0284,Bass Boost,AudioMax,speaker,499.76,Speaker delivering compact design.,102,4.2
SP0285,SmartPhone X,Futura,smartphone,299.12,Smartphone with 5G connectivity.,102,4.2
SP0286,SmartPhone Y,Futura,smartphone,1034.04,Smartphone with 5G connectivity.,7,3.5
SP0287,SmartPhone X,NextCom,smartphone,309.98,Smartphone with 5G connectivity.,64,3.8
SP0288,Maxi Phone,Futura,smartphone,356.9,Smartphone with 5G connectivity.,63,4.1
